날짜,종가,전일비,등락율,거래량,개인,기관,외국인,금융투자,보험,투신,은행,기타금융,연기금,사모펀드,국가지자체,기타법인,기타외국인,개인누적,기관누적,외국인누적,금투누적,투신누적,연기금누적
2020-06-01,51200.0,500.0,,16289568.0,-1859511.0,2104912.0,-39405.0,795040.0,274522.0,93773.0,17922.0,-34554.0,921107.0,37102.0,0.0,-190526.0,-15470.0,-1859511.0,2104912.0,-39405.0,795040.0,93773.0,921107.0
2020-06-02,51400.0,200.0,0.00390625,13764485.0,-560690.0,873157.0,-357253.0,81149.0,568419.0,48140.0,7572.0,-1260.0,108237.0,60900.0,0.0,24180.0,20606.0,-2420201.0,2978069.0,-396658.0,876189.0,141913.0,1029344.0
2020-06-03,54500.0,3100.0,0.060311284046692615,48817627.0,-12644642.0,9757786.0,3271861.0,6464027.0,1568929.0,1297994.0,-54218.0,-28639.0,42381.0,467312.0,0.0,-354941.0,-30064.0,-15064843.0,12735855.0,2875203.0,7340216.0,1439907.0,1071725.0
2020-06-04,54600.0,100.0,0.0018348623853210455,40088343.0,-3179569.0,1604890.0,1678893.0,2894351.0,-297073.0,279363.0,-9337.0,28892.0,-1572203.0,280897.0,0.0,-70151.0,-34063.0,-18244412.0,14340745.0,4554096.0,10234567.0,1719270.0,-500478.0
2020-06-05,55500.0,900.0,0.016483516483516425,22402378.0,-2638431.0,2869587.0,-184385.0,2291970.0,108763.0,1044160.0,6651.0,-18200.0,-525779.0,-37978.0,0.0,-25417.0,-21354.0,-20882843.0,17210332.0,4369711.0,12526537.0,2763430.0,-1026257.0
2020-06-08,54900.0,-600.0,-0.010810810810810811,24555972.0,2852709.0,-1098871.0,-1650246.0,-723060.0,-67082.0,728799.0,32155.0,53610.0,-1144027.0,20734.0,0.0,-121115.0,17523.0,-18030134.0,16111461.0,2719465.0,11803477.0,3492229.0,-2170284.0
2020-06-09,55500.0,600.0,0.010928961748633892,23896346.0,1583650.0,-2664421.0,1084062.0,-2038233.0,59390.0,192163.0,-4210.0,-26047.0,-888831.0,41347.0,0.0,-34365.0,31074.0,-16446484.0,13447040.0,3803527.0,9765244.0,3684392.0,-3059115.0
2020-06-10,55400.0,-100.0,-0.0018018018018017834,16645228.0,-821486.0,1047552.0,-346584.0,1350833.0,-127769.0,511500.0,1455.0,-51350.0,-491036.0,-146081.0,0.0,111005.0,9513.0,-17267970.0,14494592.0,3456943.0,11116077.0,4195892.0,-3550151.0
2020-06-11,54300.0,-1100.0,-0.019855595667869985,33590034.0,8128591.0,-6644281.0,-1589570.0,-2895909.0,-229122.0,-734122.0,-606772.0,14764.0,-1675309.0,-517811.0,0.0,98380.0,6880.0,-9139379.0,7850311.0,1867373.0,8220168.0,3461770.0,-5225460.0
2020-06-12,52300.0,-2000.0,-0.036832412523020275,26385895.0,2540437.0,-1739436.0,-825196.0,-637309.0,-86788.0,-138309.0,-19769.0,-12148.0,-442293.0,-402820.0,0.0,7474.0,16721.0,-6598942.0,6110875.0,1042177.0,7582859.0,3323461.0,-5667753.0
2020-06-15,49900.0,-2400.0,-0.04588910133843216,28248716.0,5454906.0,-3913169.0,-1591885.0,-2098778.0,-97898.0,-313496.0,-8769.0,44549.0,-1095541.0,-343236.0,0.0,33361.0,16787.0,-1144036.0,2197706.0,-549708.0,5484081.0,3009965.0,-6763294.0
2020-06-16,52100.0,2200.0,0.044088176352705455,21490637.0,-982400.0,3162969.0,-2239647.0,2522272.0,-53530.0,-280.0,-2102.0,19562.0,738532.0,-61485.0,0.0,62979.0,-3901.0,-2126436.0,5360675.0,-2789355.0,8006353.0,3009685.0,-6024762.0
2020-06-17,52200.0,100.0,0.0019193857965451588,26570347.0,-1687654.0,-190439.0,1748918.0,-916044.0,-47380.0,-129314.0,-3726.0,-39024.0,872665.0,72384.0,0.0,134122.0,-4947.0,-3814090.0,5170236.0,-1040437.0,7090309.0,2880371.0,-5152097.0
2020-06-18,52300.0,100.0,0.0019157088122605526,15826106.0,176079.0,-394225.0,266463.0,-490988.0,-114020.0,112493.0,3835.0,-78200.0,128033.0,44622.0,0.0,-54687.0,6370.0,-3638011.0,4776011.0,-773974.0,6599321.0,2992864.0,-5024064.0
2020-06-19,52900.0,600.0,0.011472275334607929,17484271.0,-1465175.0,-500078.0,1968802.0,-431912.0,47237.0,10627.0,-29391.0,-20220.0,68171.0,-144590.0,0.0,-5886.0,2337.0,-5103186.0,4275933.0,1194828.0,6167409.0,3003491.0,-4955893.0
2020-06-22,52000.0,-900.0,-0.017013232514177745,13551338.0,1276985.0,-30261.0,-1395681.0,103216.0,53306.0,74070.0,-51065.0,36180.0,-199161.0,-46807.0,0.0,140627.0,8330.0,-3826201.0,4245672.0,-200853.0,6270625.0,3077561.0,-5155054.0
2020-06-23,51400.0,-600.0,-0.011538461538461497,17946655.0,2261416.0,-1633093.0,-520561.0,-660427.0,-133046.0,-234454.0,-57840.0,-473.0,-354437.0,-192416.0,0.0,-111259.0,3497.0,-1564785.0,2612579.0,-721414.0,5610198.0,2843107.0,-5509491.0
2020-06-24,52900.0,1500.0,0.029182879377431803,24394445.0,-4515123.0,1351961.0,2833536.0,327648.0,10689.0,548320.0,97133.0,-60779.0,284551.0,144399.0,0.0,342233.0,-12607.0,-6079908.0,3964540.0,2112122.0,5937846.0,3391427.0,-5224940.0
2020-06-25,51900.0,-1000.0,-0.018903591682419618,18354227.0,2003429.0,-3809552.0,1594014.0,-3399026.0,3624.0,-201569.0,25283.0,-27510.0,-10683.0,-199671.0,0.0,185761.0,26348.0,-4076479.0,154988.0,3706136.0,2538820.0,3189858.0,-5235623.0
2020-06-26,53300.0,1400.0,0.026974951830443183,21424756.0,-3737588.0,1451894.0,2277105.0,102382.0,95086.0,119301.0,24092.0,-47757.0,1009337.0,149453.0,0.0,12202.0,-3613.0,-7814067.0,1606882.0,5983241.0,2641202.0,3309159.0,-4226286.0
2020-06-29,52400.0,-900.0,-0.016885553470919357,17715171.0,1506272.0,-882828.0,-539375.0,-859144.0,-27531.0,169917.0,7953.0,1178.0,-139923.0,-35278.0,0.0,-86551.0,2482.0,-6307795.0,724054.0,5443866.0,1782058.0,3479076.0,-4366209.0
