source,target
12시 땡,12 o'clock
1지망 학교 떨어졌어,I fell on the one.
3박4일 놀러가고 싶다,I want to go to 4 nights and 4 days.
3박4일 정도 놀러가고 싶다,I want to go to three nights and four days.
PPL 심하네,PPL serious
SD카드 망가졌어,SD card broke.
SD카드 안돼,SD card No
SNS 맞팔 왜 안하지ㅠㅠ,SNS Why not do not do it?
SNS 시간낭비인 거 아는데 매일 하는 중,I know that SNS is a waste of time.
SNS 시간낭비인데 자꾸 보게됨,"SNS time wasted,"
SNS보면 나만 빼고 다 행복해보여,SNS looks happy to see me only
가끔 궁금해,Sometimes I wonder
가끔 뭐하는지 궁금해,I wonder what to do.
가끔은 혼자인게 좋다,Sometimes it's good to be alone
가난한 자의 설움,A poor
가만 있어도 땀난다,It's sweaty
가상화폐 쫄딱 망함,Virtual currency
가스불 켜고 나갔어,I turned on the gas fire and went out.
가스불 켜놓고 나온거 같아,I think I turned on gas fire.
가스비 너무 많이 나왔다,Gasby has been too much.
가스비 비싼데 감기 걸리겠어,Gasby is expensive. I'll catch a cold.
가스비 장난 아님,Gasby mischievous
가장 확실한 건 뭘까,What is the most obvious?
가족 여행 가기로 했어,I decided to go on a family trip.
가족 여행 고고,Family travel goose
가족 여행 어디로 가지,Where to travel
가족 있어,I have a family
가족관계 알려 줘,Let me know your family relationship.
가족끼리 여행간다,Family traveling
가족들 보고 싶어,I want to see my family
가족들이랑 서먹해,I have a family with my family.
가족들이랑 서먹해졌어,I was reading with my family.
가족들이랑 어디 가지,Where to the family
가족들이랑 여행 갈거야,I'm going to travel with my family.
가족여행 가야지,I have to go to the family.
가족이 누구야,Who is the family?
가족이랑 여행 가려고,I'm going to travel with my family.
가족한테 스트레스 풀었어,I was stressed with my family.
가출할까,I will run away
가출해도 갈 데가 없어,I do not have to go to run.
간만에 떨리니까 좋더라,It's good because I'm trembling.
간만에 쇼핑 중,Shopping in a tide
간만에 휴식 중,Rest in a tide
간식 뭐 먹을까,What to eat snacks
간식 추천,Snack
간장치킨 시켜야지,I have to be chicken.
간접흡연 싫어,I hate indirect smoking
갈까 말까 고민 돼,I'm trying to go.
갈까 말까,go or not
감 말랭이 먹고 싶다,I want to eat
감 말랭이 먹어야지,I have to eat.
감기 같애,Like a cold
감기 걸린 것 같아,I think it's cold.
감기 기운이 있어,I have a cold.
감기 들 거 같애,I think I'm cold.
감기가 오려나,The cold is running.
감기약이 없어,I do not have a cold.
감기인거 같애,It's a cold.
감미로운 목소리 좋아,Sweet voice good
감정이 쓰레기통처럼 엉망진창이야,The emotion is a mess like a trash can.
감정컨트롤을 못하겠어,I can not control my feelings.
감정컨트롤이 안돼,I can not have an emotion control.
감히 나를 무시하는 애가 있어,I dare to ignore me.
갑자기 나쁜 생각이 막 들더라,Suddenly the bad idea was blocked.
갑자기 눈물 나,Sudden tears
갑자기 물어봐서 당황했어,I was embarrassed by suddenly asked.
갑자기 불편한 사이가 된 거 같아,I think I was suddenly uncomfortable.
강렬한 첫인상 남겨야 하는데,I have to leave the first impression of intense.
강아지 키우고 싶어,I want to raise a puppy
